Chain,PaymentMethod,PurchaseAmount
Major D,StoreCard,277.53
Major D,Check,276.94
Regional C,StoreCard,276.08
Major B,Check,275.97
Other,Check,274.64
Major B,StoreCard,274.54
Other,Check,274.32
Major B,Check,273.66
Major E,Check,273.65
Major B,StoreCard,272.32
Regional C,Cash,272.11
Major D,Cash,271.84
Major A,Check,270.98
Major B,StoreCard,270.14
Major A,Cash,268.8
Other,Cash,268.79
Major E,StoreCard,267.47
Major E,StoreCard,265.96
Major A,Cash,265.4
Major A,Check,264.86
Major D,StoreCard,263.36
Major B,Check,262.04
Major D,Cash,261.63
Major E,StoreCard,260.5
Major B,StoreCard,260.14
Regional C,StoreCard,259.27
Major A,Cash,258.71
Major D,Check,258.63
Regional C,StoreCard,257.98
Major B,StoreCard,257.04
Regional C,StoreCard,255.69
Major D,Check,255.63
Major A,Cash,255.63
Regional C,Check,255.16
Major A,Cash,255.14
Major D,StoreCard,254.89
Major A,Cash,254.5
Major B,StoreCard,253.74
Regional C,Check,253.63
Other,StoreCard,253.13
Regional B,Check,252.43
Minor B,Cash,252.1
Major D,Cash,251.26
Major D,StoreCard,250.8
Major B,StoreCard,250.21
Major B,Check,249.75
Major B,StoreCard,249.46
Regional A,StoreCard,248.98
Major B,Cash,248.97
Other,Cash,248.23
Major B,StoreCard,247.82
Regional B,StoreCard,246.81
Major B,Check,246.66
Major B,Check,246.53
Major A,Cash,246.28
Major A,Cash,246.12
Major A,Cash,245.74
Major D,Check,245.57
Major D,Check,245.3
Other,Cash,245.21
Regional C,StoreCard,244.76
Regional A,Cash,244.33
Other,Check,244.3
Major A,StoreCard,244.14
Other,StoreCard,243.76
Major B,Cash,243.2
Other,Check,243.14
Major D,Cash,243.13
Major B,StoreCard,242.89
Major A,Cash,242.54
Major B,StoreCard,242.32
Major A,Cash,242.09
Major D,StoreCard,241.98
Major A,Cash,241.88
Other,DebitCard,241.79
Other,Cash,241.47
Major A,Cash,241.11
Major D,StoreCard,240.91
Major B,Check,239.81
Major A,Check,239.12
Major D,StoreCard,238.03
Major B,StoreCard,237.19
Major B,StoreCard,237.04
Major A,Cash,236.88
Major E,StoreCard,236.42
Major B,StoreCard,234.74
Major B,DebitCard,234.66
Major D,StoreCard,234.65
Major A,Cash,234.36
Major A,Check,233.77
Major B,Check,233.62
Other,Cash,233.45
Regional B,DebitCard,232.94
Other,Cash,232.94
Major A,Cash,232.63
Major A,DebitCard,231.84
Major D,Cash,231.76
Major D,Check,230.91
Major B,StoreCard,230.79
Major A,DebitCard,229.25
Major B,Cash,229.05
Major A,DebitCard,228.98
Major B,DebitCard,228.85
Regional C,Check,228.67
Major B,StoreCard,227.69
Major A,Cash,227.61
Regional C,StoreCard,226.21
Major E,StoreCard,225.8
Major E,Cash,224.51
Major D,Check,223.56
Major D,StoreCard,223.43
Major E,StoreCard,222.75
Major B,Check,222.65
Major D,StoreCard,222.64
Major A,Cash,222.55
Major E,Check,222.25
Major A,Cash,222.17
Major D,StoreCard,221.71
Major B,StoreCard,221.69
Regional D,StoreCard,221.57
Other,Check,221.4
Major B,StoreCard,221.36
Major E,Check,220.17
Regional A,Cash,219.02
Regional D,StoreCard,218.72
Major B,Cash,218.15
Regional A,StoreCard,218.11
Regional D,Check,217.81
Major B,StoreCard,216.41
Other,Cash,216.21
Regional B,Cash,216.14
Other,Cash,216.08
Major B,DebitCard,216
Major D,StoreCard,215.55
Major A,DebitCard,215.41
Regional C,Cash,215.32
Minor B,Check,215.05
Major E,Cash,214.62
Regional C,StoreCard,214.18
Regional D,Check,213.77
Major D,Check,213.65
Major B,Cash,213.28
Other,Cash,212.6
Other,Cash,212.58
Regional D,StoreCard,212.03
Regional C,StoreCard,211.98
Major A,Check,211.64
Major A,DebitCard,211.55
Major E,Cash,211.49
Major E,Check,211.44
Major B,StoreCard,211.15
Major B,StoreCard,211.12
Other,StoreCard,210.87
Regional D,Check,210.57
Major B,StoreCard,210.47
Regional A,StoreCard,210.31
Other,StoreCard,209.92
Other,Cash,209.9
Major A,Cash,209.79
Regional B,Cash,209.72
Major B,Cash,209.7
Other,StoreCard,209.67
Regional D,Check,209.67
Other,StoreCard,209.65
Major D,Check,209.64
Regional D,Check,209.48
Major A,Check,209.47
Other,Cash,209.45
Major B,StoreCard,209.43
Major A,Cash,209.24
Other,Cash,209.14
Major B,Cash,208.98
Major B,StoreCard,208.93
Major A,DebitCard,208.81
Major A,Cash,208.64
Major D,Check,208.57
Major A,DebitCard,208.53
Major D,StoreCard,208.5
Major B,Cash,208.43
Major A,Cash,208.05
Regional C,Cash,208.02
Major B,StoreCard,207.93
Major D,DebitCard,207.87
Major E,Cash,207.72
Major A,DebitCard,207.59
Major E,DebitCard,207.5
Major D,Cash,207.47
Major A,DebitCard,207.46
Regional D,StoreCard,207.46
Regional D,Check,207.1
Major A,DebitCard,206.86
Major E,StoreCard,206.82
Regional C,StoreCard,206.81
Major B,Cash,206.8
Major A,Cash,206.77
Major A,Cash,206.54
Major A,Cash,206.44
Major A,Cash,206.33
Major D,Check,206.3
Regional C,DebitCard,206.21
Other,Cash,206.18
Major A,Cash,206.04
Major B,Cash,205.98
Major E,Check,205.87
Other,Check,205.81
Major E,Cash,205.79
Other,Cash,205.75
Major D,StoreCard,205.53
Major A,Cash,205.49
Other,Cash,205.49
Other,Cash,205.46
Regional D,StoreCard,205.29
Regional D,StoreCard,204.92
Major E,StoreCard,204.89
Regional D,Cash,204.83
Major A,Cash,204.74
Major B,Check,204.68
Major A,Cash,204.65
Major E,StoreCard,204.62
Regional D,DebitCard,204.15
Regional B,Check,204.1
Major E,Cash,204
Other,StoreCard,203.95
Major B,Cash,203.89
Other,Cash,203.69
Regional C,Check,203.56
Other,Cash,203.34
Major A,Cash,203.23
Major E,Check,203.09
Major A,Cash,203.03
Other,Cash,202.89
Regional C,Cash,202.82
Major E,StoreCard,202.8
Regional C,StoreCard,202.79
Major A,DebitCard,202.65
Other,DebitCard,202.47
Major A,Cash,202.37
Major E,StoreCard,202.34
Major A,DebitCard,202.27
Major A,DebitCard,202.27
Minor B,Cash,202.16
Major D,StoreCard,202.01
Major A,Cash,201.97
Regional C,Check,201.61
Regional D,DebitCard,201.49
Major A,Cash,201.45
Major D,DebitCard,201.42
Other,StoreCard,201.41
Major E,Cash,201.28
Major B,Cash,201.28
Major D,Check,201.27
Major B,StoreCard,201.21
Major D,Check,201.09
Major D,Check,201.06
Major A,Cash,201.02
Regional D,StoreCard,200.97
Regional B,Cash,200.78
Other,DebitCard,200.78
Other,Cash,200.77
Major D,Cash,200.73
Major B,Cash,200.72
Major A,Cash,200.63
Major B,Check,200.5
Regional C,Cash,200.39
Major D,Check,200.29
Major E,Check,200.13
Major A,Cash,200.1
Other,Cash,200.09
Other,Check,200.06
Other,StoreCard,199.89
Other,Cash,199.84
Other,Cash,199.72
Major A,Cash,199.71
Major B,Cash,199.7
Major A,StoreCard,199.56
Regional D,Cash,199.5
Major A,Cash,199.27
Major A,Cash,199.17
Major D,DebitCard,199.16
Major B,StoreCard,199.08
Major D,Check,199.04
Major D,StoreCard,198.95
Major D,DebitCard,198.89
Minor E,Cash,198.79
Other,Cash,198.52
Major B,StoreCard,198.41
Regional D,StoreCard,198.19
Major E,Cash,198.15
Major D,Cash,198.14
Regional C,Check,198.13
Major B,StoreCard,198.08
Major D,Cash,198.03
Major D,Check,197.98
Regional C,Check,197.93
Major A,DebitCard,197.91
Major B,StoreCard,197.66
Other,Cash,197.61
Regional D,StoreCard,197.57
Major A,Cash,197.51
Major B,StoreCard,197.48
Other,Cash,197.37
Major A,DebitCard,196.79
Major B,Check,196.76
Major E,Check,196.69
Major E,StoreCard,196.61
Major D,Cash,196.54
Other,Cash,196.48
Regional C,StoreCard,196.45
Major E,StoreCard,196.43
Major B,Check,196.39
Other,Cash,196.33
Major A,Check,196.11
Major B,Check,196.08
Other,Cash,196.02
Major D,Check,195.94
Regional C,StoreCard,195.76
Major B,StoreCard,195.33
Major D,StoreCard,195.32
Regional C,Cash,195.3
Major B,StoreCard,195.15
Regional D,StoreCard,195.01
Regional D,Check,194.99
Major B,StoreCard,194.96
Regional C,StoreCard,194.75
Major A,Cash,194.64
Minor C,Check,194.64
Major B,Cash,194.55
Minor B,DebitCard,194.55
Major B,StoreCard,194.35
Major B,Cash,194.26
Major B,Cash,194.24
Other,Cash,194.18
Regional D,StoreCard,193.98
Other,Cash,193.88
Regional B,Cash,193.83
Major B,StoreCard,193.73
Major D,StoreCard,193.72
Other,DebitCard,193.68
Major A,Cash,193.67
Major E,Cash,193.39
Major A,DebitCard,193.37
Regional D,StoreCard,193.21
Major E,StoreCard,193.13
Major B,Cash,192.99
Major E,Cash,192.83
Major D,StoreCard,192.72
Major B,Cash,192.67
Major B,StoreCard,192.61
Major B,Cash,192.54
Regional B,StoreCard,192.52
Major B,Check,192.45
Major A,Cash,192.42
Major E,StoreCard,192.41
Other,Cash,192.28
Major E,Check,192.17
Major A,Cash,192.13
Other,StoreCard,191.87
Major A,DebitCard,191.65
Major D,Other,191.64
Regional C,DebitCard,191.63
Major A,DebitCard,191.63
Regional B,Cash,191.6
Regional C,Check,191.45
Other,Check,191.35
Other,Cash,191.23
Other,Cash,191.23
Major B,StoreCard,191.21
Regional D,Cash,190.98
Major A,Check,190.93
Major A,DebitCard,190.88
Major D,StoreCard,190.81
Other,Cash,190.79
Other,Cash,190.78
Regional C,Check,190.7
Major A,Cash,190.37
Major A,Cash,190.24
Major D,StoreCard,190.14
Major B,Cash,190.06
Major D,Cash,190.06
Other,Check,190.03
Major B,Check,189.64
Regional C,StoreCard,189.6
Regional D,StoreCard,189.57
Regional D,Check,189.45
Major B,StoreCard,189.41
Major A,Cash,189.4
Major D,Cash,189.39
Regional B,Cash,189.37
Major B,StoreCard,189.26
Major B,Cash,189.18
Major B,Check,188.89
Major B,StoreCard,188.76
Other,StoreCard,188.75
Major A,Cash,188.62
Regional A,StoreCard,188.11
Major B,StoreCard,187.99
Major B,Check,187.94
Major B,StoreCard,187.84
Major D,Check,187.76
Major A,Cash,187.74
Other,Cash,187.73
Other,Cash,187.71
Other,Cash,187.62
Major D,Check,187.47
Major A,Check,187.21
Major A,DebitCard,187.13
Regional C,StoreCard,187.12
Other,Cash,187.11
Regional B,Check,186.8
Major E,StoreCard,186.76
Major A,Cash,186.68
Regional C,Cash,186.58
Major B,Cash,186.54
Major A,DebitCard,186.48
Major B,Cash,186.47
Major D,Check,186.44
Major B,Cash,186.34
Major B,Cash,185.98
Major B,StoreCard,185.93
Major E,StoreCard,185.92
Major D,Check,185.71
Major A,DebitCard,185.68
Regional D,Check,185.63
Major B,Cash,185.54
Major B,Cash,185.5
Major A,Cash,185.4
Major B,StoreCard,185.4
Major D,Check,185.35
Major B,StoreCard,185.31
Major B,StoreCard,185.2
Major B,Check,185.09
Regional D,Check,184.95
Major B,StoreCard,184.86
Major B,Cash,184.5
Regional A,Check,184.38
Regional A,Check,184.34
Major E,Cash,183.96
Other,Cash,183.95
Major A,Check,183.94
Major B,StoreCard,183.87
Major A,Check,183.76
Major B,StoreCard,183.65
Regional B,Cash,183.65
Regional D,Check,183.6
Major E,DebitCard,183.55
Major B,Check,183.5
Major B,StoreCard,183.2
Regional C,StoreCard,182.82
Major B,StoreCard,182.6
Major D,StoreCard,182.58
Major E,DebitCard,182.57
Minor B,Check,182.26
Major E,StoreCard,182.26
Major B,StoreCard,182.26
Major E,Cash,182.08
Major B,Cash,181.96
Major A,DebitCard,181.81
Regional B,Check,181.64
Major B,StoreCard,181.26
Major B,StoreCard,181.13
Regional B,StoreCard,181.01
Regional D,StoreCard,180.95
Major B,StoreCard,180.83
Regional D,StoreCard,180.61
Major A,DebitCard,180.57
Major B,Cash,180.56
Regional C,StoreCard,180.49
Major A,DebitCard,180.48
Regional C,StoreCard,180.34
Other,Cash,180.3
Major D,Cash,180.22
Regional C,StoreCard,180.05
Major D,StoreCard,180.04
Major E,StoreCard,179.83
Regional B,StoreCard,179.73
Major A,Cash,179.68
Regional D,StoreCard,179.64
Regional A,Check,179.38
Major D,StoreCard,179.32
Major B,Cash,179.31
Major D,Check,179.19
Major A,Cash,179.13
Major A,Cash,179.1
Regional B,Check,179.05
Regional D,StoreCard,178.92
Major B,StoreCard,178.7
Other,DebitCard,178.65
Major D,Cash,178.64
Regional D,Cash,178.47
Other,Cash,178.35
Major D,Check,178.35
Major E,StoreCard,178.29
Major B,Check,178.29
Major D,DebitCard,178.14
Major B,StoreCard,178.06
Major D,Check,177.95
Regional D,StoreCard,177.9
Major D,Check,177.86
Minor B,Check,177.75
Major A,Cash,177.74
Other,Cash,177.67
Major A,Check,177.38
Major D,Check,177.27
Major B,StoreCard,177.19
Major E,StoreCard,177.13
Major A,DebitCard,177.1
Major E,StoreCard,176.93
Major B,StoreCard,176.88
Major D,Check,176.78
Other,Cash,176.74
Major B,Cash,176.58
Major A,Cash,176.58
Major B,StoreCard,176.39
Regional B,Cash,176.04
Major A,DebitCard,175.99
Major B,Check,175.91
Major A,Cash,175.89
Regional A,Cash,175.82
Major A,Cash,175.71
Regional D,Cash,175.6
Regional C,Check,175.6
Regional B,Cash,175.58
Major E,StoreCard,175.53
Major A,Cash,175.51
Regional A,Check,175.39
Other,Cash,175.39
Major A,DebitCard,175.38
Major D,Check,175.37
Other,Check,175.33
Minor B,Check,175.3
Regional D,StoreCard,175.07
Regional D,Other,175.04
Other,Cash,174.98
Major A,DebitCard,174.85
Other,Cash,174.77
Other,DebitCard,174.61
Major D,Check,174.59
Major B,Cash,174.55
Major A,DebitCard,174.51
Regional D,Check,174.47
Regional C,Check,174.39
Regional D,StoreCard,174.37
Major B,StoreCard,174.3
Major D,Check,174.11
Major B,Check,173.93
Major D,Check,173.92
Major D,Check,173.66
Regional A,StoreCard,173.61
Major B,Check,173.55
Major B,StoreCard,173.4
Major E,StoreCard,173.38
Major A,Cash,173.35
Regional A,Check,173.25
Other,Cash,173.22
Major D,Cash,173.07
Regional C,DebitCard,172.91
Major B,Check,172.87
Regional C,Cash,172.83
Major E,StoreCard,172.77
Regional C,StoreCard,172.67
Major E,StoreCard,172.6
Major E,Cash,172.56
Regional B,Check,172.44
Other,Cash,172.4
Major B,StoreCard,172.34
Regional D,StoreCard,172.33
Major B,Cash,172.31
Major B,StoreCard,171.9
Major B,StoreCard,171.84
Major B,StoreCard,171.72
Major B,StoreCard,171.7
Other,DebitCard,171.58
Major A,DebitCard,171.5
Other,Cash,171.44
Major B,StoreCard,171.19
Other,Check,171.08
Major D,Check,170.89
Major D,StoreCard,170.87
Regional D,StoreCard,170.87
Major D,StoreCard,170.76
Major D,StoreCard,170.71
Major D,StoreCard,170.68
Major B,StoreCard,170.64
Other,Cash,170.51
Major A,DebitCard,170.42
Major A,Cash,170.42
Other,StoreCard,170.41
Major B,Check,170.41
Major B,StoreCard,170.23
Major B,StoreCard,170.22
Major D,Check,170.19
Other,Check,170.04
Regional C,StoreCard,169.79
Other,Cash,169.78
Major E,Check,169.73
Major E,Check,169.51
Major A,Cash,169.38
Major B,StoreCard,169.29
Major A,DebitCard,169.06
Other,Cash,168.94
Regional D,StoreCard,168.9
Major D,DebitCard,168.88
Regional B,Check,168.81
Regional D,StoreCard,168.64
Regional C,Check,168.61
Major A,Cash,168.35
Major A,Cash,168.25
Regional C,StoreCard,168.25
Other,Cash,168.14
Major A,Cash,168.13
Major A,Check,168.12
Major B,StoreCard,168.06
Regional C,StoreCard,167.92
Major A,DebitCard,167.86
Major A,Cash,167.76
Major D,StoreCard,167.71
Major E,Cash,167.67
Major A,Cash,167.63
Major D,Cash,167.54
Major E,Check,167.43
Major A,Cash,167.43
Regional C,StoreCard,167.39
Regional C,StoreCard,167.27
Major A,Cash,167.21
Major A,Cash,167.04
Regional B,Cash,166.98
Major B,Check,166.95
Other,Check,166.91
Major B,StoreCard,166.87
Major B,StoreCard,166.49
Major D,StoreCard,166.48
Major D,Check,166.48
Major B,Check,166.43
Major B,StoreCard,166.41
Major A,Cash,166.4
Major B,StoreCard,166.36
Major E,Check,166.34
Major B,StoreCard,166.32
Major E,Check,166.26
Major E,Check,166.25
Other,Cash,166.2
Major E,Check,166.14
Major B,StoreCard,166.12
Major D,StoreCard,166.09
Other,Cash,166.08
Major B,Cash,165.96
Major A,Cash,165.91
Major A,Check,165.89
Major E,StoreCard,165.84
Other,Cash,165.79
Major A,DebitCard,165.76
Regional C,DebitCard,165.75
Other,Check,165.7
Major A,Cash,165.64
Major B,StoreCard,165.6
Major B,Check,165.54
Major B,Check,165.49
Regional C,StoreCard,165.47
Major E,StoreCard,165.46
Major B,StoreCard,165.44
Major B,StoreCard,165.42
Other,StoreCard,165.37
Other,Cash,165.37
Major A,Cash,165.18
Other,Check,165.17
Major B,Check,165.02
Other,Cash,164.97
Other,DebitCard,164.97
Major A,Cash,164.89
Major E,StoreCard,164.86
Major E,StoreCard,164.83
Major B,StoreCard,164.75
Major A,Cash,164.66
Other,Cash,164.56
Other,Check,164.52
Regional A,Check,164.49
Major A,DebitCard,164.43
Major A,Cash,164.42
Major B,Check,164.42
Major D,StoreCard,164.41
Major A,Cash,164.35
Other,Cash,164.31
Major E,StoreCard,164.21
Major B,StoreCard,164.13
Other,StoreCard,163.87
Major B,Cash,163.86
Major A,DebitCard,163.84
Major B,Check,163.83
Major E,Cash,163.66
Major A,Cash,163.53
Regional C,StoreCard,163.33
Regional D,StoreCard,163.3
Major A,DebitCard,163.01
Major D,StoreCard,162.93
Regional D,Check,162.92
Major A,Check,162.91
Major E,Check,162.84
Regional C,StoreCard,162.8
Major A,Cash,162.72
Major A,Cash,162.66
Regional B,Check,162.65
Major E,Check,162.55
Regional D,StoreCard,162.52
Major A,Cash,162.51
Major A,Cash,162.49
Major B,Check,162.47
Other,Check,162.37
Major A,Check,162.28
Major D,StoreCard,162.22
Major A,Cash,162.12
Major E,Check,162.06
Regional B,Check,161.96
Major B,StoreCard,161.92
Major A,Cash,161.86
Major A,Cash,161.76
Major E,Check,161.65
Other,DebitCard,161.6
Other,Check,161.6
Major A,DebitCard,161.59
Regional C,Check,161.55
Major B,Check,161.55
Major A,Cash,161.54
Major A,Cash,161.48
Major B,StoreCard,161.47
Other,Cash,161.42
Major B,Check,161.38
Major B,Check,161.37
Regional D,Check,161.36
Major E,StoreCard,161.29
Major E,StoreCard,161.26
Regional D,Check,161.19
Major B,Check,161.14
Other,StoreCard,161.02
Other,Check,160.98
Major B,Check,160.91
Other,Cash,160.78
Major E,DebitCard,160.62
Other,Cash,160.62
Major E,StoreCard,160.58
Regional C,Cash,160.57
Regional C,Cash,160.49
Regional C,Cash,160.47
Major A,Cash,160.47
Major D,StoreCard,160.46
Major A,Cash,160.37
Other,Cash,160.37
Other,Check,160.17
Major E,Check,160.07
Major A,Cash,159.92
Major A,DebitCard,159.88
Major D,Check,159.82
Other,Cash,159.76
Major D,Cash,159.74
Major B,Check,159.73
Major A,Check,159.72
Regional C,StoreCard,159.61
Major E,StoreCard,159.57
Major D,Check,159.52
Major A,Cash,159.51
Major A,Cash,159.49
Major D,Cash,159.45
Major A,Cash,159.37
Major A,DebitCard,159.31
Regional D,StoreCard,159.28
Regional C,Cash,159.27
Major A,Cash,159.14
Regional A,Cash,159.11
Regional D,Cash,159.09
Major A,Cash,159.05
Regional D,Other,158.99
Minor D,Check,158.96
Major A,Cash,158.92
Major D,Check,158.91
Major D,Cash,158.89
Major B,Cash,158.85
Major A,Cash,158.83
Major E,StoreCard,158.78
Major A,Cash,158.7
Regional D,Cash,158.65
Major B,DebitCard,158.5
Major A,Cash,158.49
